(0.199282,-0.196381)	 	(0.199282,0.196381)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.469951,2.92401e-17)	 	(0.469951,-2.92401e-17)
(-1.32056e-16,1.74255e-17)	 	(-1.32056e-16,-1.74255e-17)
(5.6918e-17,9.55989e-18)	 	(5.6918e-17,-9.55989e-18)
(3.542e-17,-2.64889e-18)	 	(3.542e-17,2.64889e-18)
(0.0111038,0.0413183)	 	(0.0111038,-0.0413183)
(1.2021e-18,-3.48451e-18)	 	(1.2021e-18,3.48451e-18)
(1.19881e-17,9.5565e-19)	 	(1.19881e-17,-9.5565e-19)
(5.14071e-18,-2.53079e-19)	 	(5.14071e-18,2.53079e-19)
(0.333558,-0.183725)	 	(0.333558,0.183725)
(4.49645e-18,1.14968e-19)	 	(4.49645e-18,-1.14968e-19)
(9.84083e-19,-2.21178e-20)	 	(9.84083e-19,2.21178e-20)
(5.45927e-20,8.39063e-20)	 	(5.45927e-20,-8.39063e-20)
(0.368686,0.095327)	 	(0.368686,-0.095327)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.000517364,-0.0427806)	 	(0.000517364,0.0427806)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.455289,-0.116469)	 	(0.455289,0.116469)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.241735,0.140867)	 	(0.241735,-0.140867)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0297342,-0.10952)	 	(0.0297342,0.10952)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.144106,0.142742)	 	(0.144106,-0.142742)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.104234,-0.174003)	 	(0.104234,0.174003)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0559495,0.098735)	 	(0.0559495,-0.098735)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(-0.178841,0.176235)	 	(-0.178841,-0.176235)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0527893,-8.56913e-17)	 	(0.0527893,8.56913e-17)
(-2.93079e-18,-1.8651e-17)	 	(-2.93079e-18,1.8651e-17)
(-5.84665e-18,-3.06819e-17)	 	(-5.84665e-18,3.06819e-17)
(6.54468e-17,2.36479e-17)	 	(6.54468e-17,-2.36479e-17)
(0.105404,0.392247)	 	(0.105404,-0.392247)
(2.12148e-17,5.29614e-17)	 	(2.12148e-17,-5.29614e-17)
(-1.37915e-16,-1.2675e-17)	 	(-1.37915e-16,1.2675e-17)
(-6.59014e-17,4.45716e-18)	 	(-6.59014e-17,-4.45716e-18)
(-0.128694,0.0708833)	 	(-0.128694,-0.0708833)
(-7.35786e-17,-2.02324e-18)	 	(-7.35786e-17,2.02324e-18)
(-1.70113e-17,2.92431e-19)	 	(-1.70113e-17,-2.92431e-19)
(-9.58266e-19,-1.47281e-18)	 	(-9.58266e-19,1.47281e-18)
(0.142245,0.0367799)	 	(0.142245,-0.0367799)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.00491154,0.406133)	 	(-0.00491154,-0.406133)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.0511433,0.0130821)	 	(-0.0511433,-0.0130821)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
